Simple time,City name,Temperature,Wind speed
2021/07/22 07:23,Tel Aviv,25,3.09
2021/07/22 07:26,Tel Aviv,25,3.09
2021/07/22 07:29,Tel Aviv,25,3.09
2021/07/22 07:32,Tel Aviv,25,3.09
2021/07/22 07:35,Tel Aviv,25,3.09
2021/07/22 07:38,Tel Aviv,25,3.09
2021/07/22 07:41,Tel Aviv,25,3.09
2021/07/22 07:44,Tel Aviv,26,3.09
2021/07/22 07:47,Tel Aviv,26,3.09
2021/07/22 07:50,Tel Aviv,26,3.09
2021/07/22 07:53,Tel Aviv,26,3.09
2021/07/22 07:56,Tel Aviv,26,3.09
2021/07/22 07:59,Tel Aviv,26,3.09
2021/07/22 08:02,Tel Aviv,26,3.09
2021/07/22 08:05,Tel Aviv,26,3.09
2021/07/22 08:08,Tel Aviv,26,3.09
2021/07/22 08:11,Tel Aviv,26,3.09
2021/07/22 08:14,Tel Aviv,26,3.09
2021/07/22 08:17,Tel Aviv,26,3.09
2021/07/22 08:20,Tel Aviv,26,3.09
2021/07/22 08:23,Tel Aviv,27,3.09
2021/07/22 08:26,Tel Aviv,27,3.09
2021/07/22 08:29,Tel Aviv,27,3.09
2021/07/22 08:32,Tel Aviv,27,3.09
2021/07/22 08:35,Tel Aviv,27,3.09
2021/07/22 08:38,Tel Aviv,27,3.09
2021/07/22 08:41,Tel Aviv,27,3.09
2021/07/22 08:44,Tel Aviv,27,3.09
2021/07/22 08:47,Tel Aviv,27,3.09
2021/07/22 08:50,Tel Aviv,27,3.09
2021/07/22 08:53,Tel Aviv,27,3.09
2021/07/22 08:56,Tel Aviv,27,3.09
2021/07/22 08:59,Tel Aviv,28,3.6
2021/07/22 09:02,Tel Aviv,28,3.6
2021/07/22 09:05,Tel Aviv,28,3.6
2021/07/22 09:08,Tel Aviv,28,3.6
2021/07/22 09:11,Tel Aviv,28,3.6
2021/07/22 09:14,Tel Aviv,28,3.6
2021/07/22 09:17,Tel Aviv,28,3.6
2021/07/22 09:38,Tel Aviv,28,2.57
2021/07/22 09:38,Tel Aviv,28,2.57
2021/07/22 09:38,Tel Aviv,28,2.57
2021/07/22 09:38,Tel Aviv,28,2.57
2021/07/22 09:38,Tel Aviv,28,2.57
2021/07/22 09:38,Tel Aviv,28,2.57
2021/07/22 09:38,Tel Aviv,28,2.57
2021/07/22 09:41,Tel Aviv,28,2.57
2021/07/22 09:44,Tel Aviv,28,2.57
2021/07/22 09:47,Tel Aviv,28,2.57
2021/07/22 09:50,Tel Aviv,28,2.57
2021/07/22 09:53,Tel Aviv,28,2.57
2021/07/22 09:56,Tel Aviv,28,2.57
2021/07/22 09:59,Tel Aviv,28,2.57
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:46,Tel Aviv,30,4.63
2021/07/22 10:47,Tel Aviv,30,4.63
2021/07/22 10:50,Tel Aviv,30,4.63
2021/07/22 10:53,Tel Aviv,30,4.63
2021/07/22 10:56,Tel Aviv,30,4.12
