Simple time,City name,Temperature,Wind speed
2021/07/22 07:23,Jerusalem,20,2.24
2021/07/22 07:24,Jerusalem,20,2.24
2021/07/22 07:26,Jerusalem,20,2.24
2021/07/22 07:27,Jerusalem,20,2.24
2021/07/22 07:28,Jerusalem,20,2.24
2021/07/22 07:29,Jerusalem,20,2.24
2021/07/22 07:30,Jerusalem,20,2.24
2021/07/22 07:31,Jerusalem,20,2.24
2021/07/22 07:32,Jerusalem,20,2.24
2021/07/22 07:33,Jerusalem,20,2.24
2021/07/22 07:34,Jerusalem,20,2.24
2021/07/22 07:35,Jerusalem,20,2.24
2021/07/22 07:36,Jerusalem,20,2.24
2021/07/22 07:37,Jerusalem,20,2.24
2021/07/22 07:38,Jerusalem,20,2.24
2021/07/22 07:39,Jerusalem,20,2.24
2021/07/22 07:40,Jerusalem,20,2.24
2021/07/22 07:41,Jerusalem,20,2.24
2021/07/22 07:42,Jerusalem,20,2.24
2021/07/22 07:43,Jerusalem,20,2.24
2021/07/22 07:44,Jerusalem,20,2.24
2021/07/22 07:45,Jerusalem,21,2.24
2021/07/22 07:46,Jerusalem,21,2.24
2021/07/22 07:47,Jerusalem,21,2.24
2021/07/22 07:48,Jerusalem,21,2.24
2021/07/22 07:49,Jerusalem,21,2.24
2021/07/22 07:50,Jerusalem,21,2.24
2021/07/22 07:51,Jerusalem,21,2.24
2021/07/22 07:52,Jerusalem,21,2.24
2021/07/22 07:53,Jerusalem,21,2.24
2021/07/22 07:54,Jerusalem,21,2.24
2021/07/22 07:55,Jerusalem,21,2.24
2021/07/22 07:56,Jerusalem,21,1.34
2021/07/22 07:57,Jerusalem,21,1.34
2021/07/22 07:58,Jerusalem,21,1.34
2021/07/22 07:59,Jerusalem,21,1.34
2021/07/22 08:00,Jerusalem,21,1.34
2021/07/22 08:01,Jerusalem,21,1.34
2021/07/22 08:02,Jerusalem,21,1.34
2021/07/22 08:03,Jerusalem,21,1.34
2021/07/22 08:04,Jerusalem,21,1.34
2021/07/22 08:05,Jerusalem,21,1.34
2021/07/22 08:06,Jerusalem,21,1.34
2021/07/22 08:07,Jerusalem,21,1.79
2021/07/22 08:08,Jerusalem,21,1.79
2021/07/22 08:09,Jerusalem,21,1.79
2021/07/22 08:10,Jerusalem,21,1.79
2021/07/22 08:11,Jerusalem,21,1.79
2021/07/22 08:12,Jerusalem,21,1.79
2021/07/22 08:13,Jerusalem,21,1.79
2021/07/22 08:14,Jerusalem,21,1.79
2021/07/22 08:15,Jerusalem,21,1.79
2021/07/22 08:16,Jerusalem,21,1.79
2021/07/22 08:17,Jerusalem,21,1.79
2021/07/22 08:18,Jerusalem,21,2.24
2021/07/22 08:19,Jerusalem,21,2.24
2021/07/22 08:20,Jerusalem,21,2.24
